Date,Close
1/2/2019,45.22
1/3/2019,44.78
1/4/2019,46.71
1/7/2019,47.45
1/8/2019,47.88
1/9/2019,47.78
1/10/2019,47.82
1/11/2019,48.29
1/14/2019,48.18
1/15/2019,48.38
1/16/2019,48.06
1/17/2019,48.58
1/18/2019,49.27
1/22/2019,48.94
1/23/2019,49.24
1/24/2019,49.2
1/25/2019,49.8
1/28/2019,49.52
1/29/2019,49.61
1/30/2019,50.36
1/31/2019,50.23
2/1/2019,50.81
2/4/2019,51.03
2/5/2019,51.24
2/6/2019,51.26
2/7/2019,50.22
2/8/2019,51.03
2/11/2019,51.23
2/12/2019,51.22
2/13/2019,51.42
2/14/2019,51.48
2/15/2019,51.72
2/19/2019,52.02
2/20/2019,51.77
2/21/2019,52.11
2/22/2019,52.48
2/25/2019,52.56
2/26/2019,52.6
2/27/2019,52.38
2/28/2019,52.13
3/1/2019,52.51
3/4/2019,52.04
3/5/2019,52.36
3/6/2019,52.35
3/7/2019,52.58
3/8/2019,52.77
3/11/2019,52.66
3/12/2019,52.8
3/13/2019,53.06
3/14/2019,53.05
3/15/2019,52.94
3/18/2019,53.46
3/19/2019,54.04
3/20/2019,52.64
3/21/2019,54.04
3/22/2019,52.77
3/25/2019,52.74
3/26/2019,53.28
3/27/2019,52.81
3/28/2019,53.19
3/29/2019,53.71
4/1/2019,54.58
4/2/2019,54.15
4/3/2019,54.06
4/4/2019,53.82
4/5/2019,53.93
4/8/2019,53.72
4/9/2019,53.83
4/10/2019,53.97
4/11/2019,53.79
4/12/2019,54.5
4/15/2019,54.63
4/16/2019,54.59
4/17/2019,54.48
4/18/2019,54.52
4/22/2019,54.62
4/23/2019,54.94
4/24/2019,55.18
4/25/2019,55.01
4/26/2019,55.41
4/29/2019,55.08
4/30/2019,55.33
5/1/2019,54.88
5/2/2019,54.6
5/3/2019,54.79
5/6/2019,54.85
5/7/2019,54
5/8/2019,53.99
5/9/2019,54.25
5/10/2019,54.65
5/13/2019,53.43
5/14/2019,54.13
5/15/2019,54.56
5/16/2019,54.64
5/17/2019,54.5
5/20/2019,53.66
5/21/2019,54.17
5/22/2019,54.2
5/23/2019,53.08
5/24/2019,52.77
5/28/2019,51.75
5/29/2019,51.69
5/30/2019,51.72
5/31/2019,50.6
6/3/2019,50.24
6/4/2019,52.02
6/5/2019,52.1
6/6/2019,52.59
6/7/2019,53.26
6/10/2019,54.01
6/11/2019,53.94
6/12/2019,53.62
6/13/2019,53.84
6/14/2019,53.28
6/17/2019,53.13
6/18/2019,52.9
6/19/2019,52.68
6/20/2019,56.99
6/21/2019,56.12
6/24/2019,56.74
6/25/2019,56.07
6/26/2019,56.66
6/27/2019,56.77
6/28/2019,56.97
7/1/2019,58.01
7/2/2019,58.46
7/3/2019,58.86
7/5/2019,59.28
7/8/2019,59.53
7/9/2019,59.6
7/10/2019,60.15
7/11/2019,59.99
7/12/2019,59.81
7/15/2019,59.53
7/16/2019,58.61
7/17/2019,57.99
7/18/2019,58.12
7/19/2019,57.54
7/22/2019,57.6
7/23/2019,57.45
7/24/2019,58.11
7/25/2019,58.29
7/26/2019,58.5
7/29/2019,58.06
7/30/2019,57.49
7/31/2019,56.3
8/1/2019,55.88
8/2/2019,55.84
8/5/2019,53.76
8/6/2019,53.96
8/7/2019,53.34
8/8/2019,54.65
8/9/2019,53.9
8/12/2019,53.25
8/13/2019,53.97
8/14/2019,52.32
8/15/2019,52.59
8/16/2019,53.59
8/19/2019,53.87
8/20/2019,52.98
8/21/2019,53.24
8/22/2019,53.19
8/23/2019,51.58
8/26/2019,52.13
8/27/2019,52.39
8/28/2019,51.95
8/29/2019,52.16
8/30/2019,52.06
9/3/2019,51.89
9/4/2019,52.97
9/5/2019,53.84
9/6/2019,53.16
9/9/2019,54.54
9/10/2019,55.47
9/11/2019,56.29
9/12/2019,53.89
9/13/2019,53.75
9/16/2019,53.14
9/17/2019,52.87
9/18/2019,52.56
9/19/2019,53.37
9/20/2019,53.47
9/23/2019,54.02
9/24/2019,53.35
9/25/2019,53.84
9/26/2019,53.96
9/27/2019,54.09
9/30/2019,55.03
10/1/2019,53.8
10/2/2019,53.15
10/3/2019,53.86
10/4/2019,55.14
10/7/2019,54.8
10/8/2019,54.05
10/9/2019,54.53
10/10/2019,55.49
10/11/2019,56.89
10/14/2019,56.46
10/15/2019,56.35
10/16/2019,55.88
10/17/2019,55.06
10/18/2019,54.55
10/21/2019,55.13
10/22/2019,54.11
10/23/2019,54.13
10/24/2019,54.26
10/25/2019,54.17
10/28/2019,54.64
10/29/2019,54.8
10/30/2019,54.85
10/31/2019,54.49
11/1/2019,55
11/4/2019,55.45
11/5/2019,55.67
11/6/2019,55.7
11/7/2019,55.98
11/8/2019,56.49
11/11/2019,56.43
11/12/2019,56.59
11/13/2019,56.21
11/14/2019,56.09
11/15/2019,56.42
11/18/2019,56.19
11/19/2019,56.27
11/20/2019,56.24
11/21/2019,56.23
11/22/2019,56.39
11/25/2019,56.56
11/26/2019,56.51
11/27/2019,56.61
11/29/2019,56.14
12/2/2019,55.43
12/3/2019,54.59
12/4/2019,54.41
12/5/2019,54.68
12/6/2019,54.83
12/9/2019,55.31
12/10/2019,55.82
12/11/2019,56.31
12/12/2019,56.47
12/13/2019,54.51
12/16/2019,53.99
12/17/2019,52.84
12/18/2019,53.39
12/19/2019,53.24
12/20/2019,53.6
12/23/2019,53.71
12/24/2019,53.44
12/26/2019,53.57
12/27/2019,53.46
12/30/2019,52.7
12/31/2019,52.98
1/2/2020,53.95
1/3/2020,53.76
1/6/2020,54.04
1/7/2020,54.16
1/8/2020,54.13
1/9/2020,54.38
1/10/2020,54.45
1/13/2020,54.58
1/14/2020,54.88
1/15/2020,54.76
1/16/2020,55.43
1/17/2020,55.13
1/21/2020,55.22
1/22/2020,54.72
1/23/2020,54.98
1/24/2020,54.07
1/27/2020,52.69
1/28/2020,53.46
1/29/2020,53.2
1/30/2020,53.31
1/31/2020,52.45
2/3/2020,53.09
2/4/2020,54.04
2/5/2020,54.74
2/6/2020,54.71
2/7/2020,54.72
2/10/2020,54.99
2/11/2020,55.15
2/12/2020,55.73
2/13/2020,55.31
2/14/2020,55.47
2/18/2020,55.45
2/19/2020,55.44
2/20/2020,55.51
2/21/2020,54.68
2/24/2020,52.65
2/25/2020,50.96
2/26/2020,52.05
2/27/2020,50.78
2/28/2020,49.46
3/2/2020,50.9
3/3/2020,48.85
3/4/2020,50.54
3/5/2020,48
3/6/2020,47.37
3/9/2020,46.01
3/10/2020,48.58
3/11/2020,44.72
3/12/2020,39.8
3/13/2020,47.93
3/16/2020,42.72
3/17/2020,46.86
3/18/2020,47.27
3/19/2020,45.07
3/20/2020,45.65
3/23/2020,44.19
3/24/2020,47.84
3/25/2020,45.94
3/26/2020,50.48
3/27/2020,49.83
3/30/2020,50.36
3/31/2020,48.33
4/1/2020,48.71
4/2/2020,49.8
4/3/2020,49.4
4/6/2020,51.49
4/7/2020,50.76
4/8/2020,52.13
4/9/2020,53.18
4/13/2020,52.97
4/14/2020,54
4/15/2020,53.16
4/16/2020,53.7
4/17/2020,54.62
4/20/2020,53.91
4/21/2020,51.31
4/22/2020,52.27
4/23/2020,51.97
4/24/2020,53.01
4/27/2020,53.37
4/28/2020,53.2
4/29/2020,53.88
4/30/2020,52.97
5/1/2020,51.79
5/4/2020,51.75
5/5/2020,52.05
5/6/2020,51.86
5/7/2020,52.6
5/8/2020,53.57
5/11/2020,53.53
5/12/2020,52.27
5/13/2020,51.65
5/14/2020,52.91
5/15/2020,52.92
5/18/2020,53.15
5/19/2020,52.34
5/20/2020,52.9
5/21/2020,52.22
5/22/2020,52.62
5/26/2020,52.78
5/27/2020,53.2
5/28/2020,53.62
5/29/2020,53.77
6/1/2020,53.06
6/2/2020,53.28
6/3/2020,53.49
6/4/2020,52.85
6/5/2020,53.98
6/8/2020,55.1
6/9/2020,54.18
6/10/2020,54.11
6/11/2020,51.31
6/12/2020,51.86
6/15/2020,53.25
6/16/2020,54.59
6/17/2020,51.52
6/18/2020,53.69
6/19/2020,54.4
6/22/2020,55.12
6/23/2020,55.19
6/24/2020,54.44
6/25/2020,54.53
6/26/2020,54.18
6/29/2020,54.76
6/30/2020,55.27
7/1/2020,55.49
7/2/2020,55.94
7/6/2020,56.6
7/7/2020,56.31
7/8/2020,56.66
7/9/2020,57.53
7/10/2020,57.39
7/13/2020,57.01
7/14/2020,57.2
7/15/2020,56.62
7/16/2020,55.82
7/17/2020,54.9
7/20/2020,55.4
7/21/2020,55.91
7/22/2020,56.01
7/23/2020,55.76
7/24/2020,55.65
7/27/2020,55.34
7/28/2020,55.35
7/29/2020,55.7
7/30/2020,55.25
7/31/2020,55.45
8/3/2020,55.98
8/4/2020,56
8/5/2020,55.5
8/6/2020,55.28
8/7/2020,55.23
8/10/2020,54.94
8/11/2020,54.27
8/12/2020,54.17
8/13/2020,54.02
8/14/2020,54.2
8/17/2020,53.99
8/18/2020,55.18
8/19/2020,56.2
8/20/2020,55.26
8/21/2020,55.19
8/24/2020,56.01
8/25/2020,56.09
8/26/2020,57.49
8/27/2020,57.18
8/28/2020,57.88
8/31/2020,57.22
9/1/2020,57.66
9/2/2020,59.03
9/3/2020,57.1
9/4/2020,55.73
9/8/2020,55.32
9/9/2020,56.95
9/10/2020,57.33
9/11/2020,57
9/14/2020,59.46
9/15/2020,60.94
9/16/2020,60.43
9/17/2020,60.18
9/18/2020,59.75
9/21/2020,60.82
9/22/2020,60.62
9/23/2020,58.96
9/24/2020,59.3
9/25/2020,59.8
9/28/2020,59.58
9/29/2020,59.47
9/30/2020,59.7
10/1/2020,59.68
10/2/2020,58.83
10/5/2020,59.56
10/6/2020,59.51
10/7/2020,60.59
10/8/2020,60.89
10/9/2020,61.15
10/12/2020,61.46
10/13/2020,60.97
10/14/2020,60.96
10/15/2020,60.52
10/16/2020,60.29
10/19/2020,59.62
10/20/2020,59.75
10/21/2020,59.67
10/22/2020,59.69
10/23/2020,59.9
10/26/2020,57.49
10/27/2020,57.08
10/28/2020,55.59
10/29/2020,56.02
10/30/2020,56.11
11/2/2020,56.45
11/3/2020,56.8
11/4/2020,56.49
11/5/2020,56.66
11/6/2020,56.8
11/9/2020,56.84
11/10/2020,56.67
11/11/2020,57.2
11/12/2020,56.45
11/13/2020,56.91
11/16/2020,57.15
11/17/2020,57.12
11/18/2020,56.25
11/19/2020,56.45
11/20/2020,55.7
11/23/2020,56.08
11/24/2020,57.57
11/25/2020,57.41
11/27/2020,57.76
11/30/2020,57.72
12/1/2020,58.74
12/2/2020,59.08
12/3/2020,59.27
12/4/2020,59.96
12/7/2020,59.8
