Date,Close
1/2/2019,62.71
1/3/2019,61.84
1/4/2019,64.93
1/7/2019,66.36
1/8/2019,67.43
1/9/2019,68.71
1/10/2019,70.46
1/11/2019,70.64
1/14/2019,72.03
1/15/2019,73.32
1/16/2019,73.92
1/17/2019,73.25
1/18/2019,74.74
1/22/2019,73.47
1/23/2019,72.38
1/24/2019,73.27
1/25/2019,75.7
1/28/2019,74.71
1/29/2019,75.03
1/30/2019,76.37
1/31/2019,75.34
2/1/2019,76.17
2/4/2019,76.28
2/5/2019,75.64
2/6/2019,74.77
2/7/2019,71.56
2/8/2019,70.62
2/11/2019,72.27
2/12/2019,72.9
2/13/2019,74.31
2/14/2019,74.87
2/15/2019,75.99
2/19/2019,75.07
2/20/2019,76.42
2/21/2019,73.32
2/22/2019,74.18
2/25/2019,73.72
2/26/2019,72.6
2/27/2019,72.64
2/28/2019,71.91
3/1/2019,73.08
3/4/2019,74.49
3/5/2019,73.54
3/6/2019,72.18
3/7/2019,71.39
3/8/2019,68.29
3/11/2019,68.74
3/12/2019,70.03
3/13/2019,70.55
3/14/2019,70.52
3/15/2019,70.06
3/18/2019,71.89
3/19/2019,70.69
3/20/2019,72.08
3/21/2019,72.43
3/22/2019,67.9
3/25/2019,67.9
3/26/2019,70.11
3/27/2019,70.18
3/28/2019,70.67
3/29/2019,69.9
4/1/2019,70.06
4/2/2019,68.57
4/3/2019,65.69
4/4/2019,66.48
4/5/2019,68.83
4/8/2019,69.32
4/9/2019,66.82
4/10/2019,67.97
4/11/2019,67.2
4/12/2019,70.83
4/15/2019,69.59
4/16/2019,69.57
4/17/2019,69.02
4/18/2019,69.3
4/22/2019,70.45
4/23/2019,71.24
4/24/2019,70.86
4/25/2019,69.67
4/26/2019,68.69
4/29/2019,68.52
4/30/2019,68.66
5/1/2019,66.88
5/2/2019,65.4
5/3/2019,66.83
5/6/2019,67.04
5/7/2019,66.02
5/8/2019,67.29
5/9/2019,67.46
5/10/2019,67.78
5/13/2019,66.09
5/14/2019,67.5
5/15/2019,68.01
5/16/2019,69.25
5/17/2019,68.55
5/20/2019,68.68
5/21/2019,71.41
5/22/2019,68.59
5/23/2019,64.08
5/24/2019,64
5/28/2019,63.02
5/29/2019,61.91
5/30/2019,59.12
5/31/2019,57.19
6/3/2019,57.72
6/4/2019,58.9
6/5/2019,55.73
6/6/2019,56.03
6/7/2019,55.48
6/10/2019,56.35
6/11/2019,56.21
6/12/2019,54.37
6/13/2019,56.66
6/14/2019,54.6
6/17/2019,55.6
6/18/2019,56.58
6/19/2019,55.66
6/20/2019,56.9
6/21/2019,56.67
6/24/2019,55.91
6/25/2019,55.56
6/26/2019,57.18
6/27/2019,57.76
6/28/2019,59.33
7/1/2019,60.05
7/2/2019,58.56
7/3/2019,58.74
7/5/2019,59.13
7/8/2019,56.99
7/9/2019,57.14
7/10/2019,57.09
7/11/2019,54.92
7/12/2019,55.87
7/15/2019,53.38
7/16/2019,51.53
7/17/2019,49.76
7/18/2019,49.08
7/19/2019,49.41
7/22/2019,49.62
7/23/2019,50.35
7/24/2019,50.5
